date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-31 06:45:00,124.42,124.67,124.42,124.64,2258.0,2023-10-31 06:45:00
2023-10-31 06:30:00,124.58,124.61,124.33,124.36,1992.0,2023-10-31 06:30:00
2023-10-31 06:15:00,124.66,124.74,124.56,124.61,2833.0,2023-10-31 06:15:00
2023-10-31 06:00:00,124.54,124.67,124.53,124.6,2150.0,2023-10-31 06:00:00
2023-10-31 05:45:00,124.53,124.59,124.48,124.58,708.0,2023-10-31 05:45:00
2023-10-31 05:30:00,124.22,124.53,124.19,124.53,2673.0,2023-10-31 05:30:00
2023-10-31 05:15:00,124.39,124.39,124.16,124.17,3004.0,2023-10-31 05:15:00
2023-10-31 05:00:00,124.54,124.54,124.33,124.42,2850.0,2023-10-31 05:00:00
2023-10-31 04:45:00,124.46,124.57,124.41,124.54,1845.0,2023-10-31 04:45:00
2023-10-31 04:30:00,124.31,124.5,124.28,124.44,596.0,2023-10-31 04:30:00
2023-10-31 04:15:00,124.25,124.32,124.2,124.32,2908.0,2023-10-31 04:15:00
2023-10-31 04:00:00,124.46,124.46,124.01,124.21,7223.0,2023-10-31 04:00:00
2023-10-30 19:45:00,124.59,124.59,124.31,124.31,4195.0,2023-10-30 19:45:00
2023-10-30 19:30:00,124.5,124.62,124.45,124.59,808.0,2023-10-30 19:30:00
2023-10-30 19:15:00,124.48,124.61,124.47,124.5,3682.0,2023-10-30 19:15:00
2023-10-30 19:00:00,124.46,124.55,124.4,124.49,5463.0,2023-10-30 19:00:00
2023-10-30 18:45:00,124.45,124.55,124.45,124.55,4738.0,2023-10-30 18:45:00
2023-10-30 18:30:00,124.45,124.46,124.45,124.46,2288.0,2023-10-30 18:30:00
2023-10-30 18:15:00,124.45,124.5,124.38,124.47,3904.0,2023-10-30 18:15:00
2023-10-30 18:00:00,124.36,124.53,124.35,124.45,3356.0,2023-10-30 18:00:00
2023-10-30 17:45:00,124.52,124.53,124.315,124.52,1868.0,2023-10-30 17:45:00
2023-10-30 17:30:00,124.5,124.53,124.5,124.53,5066.0,2023-10-30 17:30:00
2023-10-30 17:15:00,124.39,124.53,124.31,124.53,701994.0,2023-10-30 17:15:00
2023-10-30 17:00:00,124.41,124.46,124.31,124.41,8709.0,2023-10-30 17:00:00
2023-10-30 16:45:00,124.2,124.44,124.13,124.42,7679.0,2023-10-30 16:45:00
2023-10-30 16:30:00,124.18,124.43,124.11,124.16,6988.0,2023-10-30 16:30:00
2023-10-30 16:15:00,124.46,124.57,123.99,124.17,80133.0,2023-10-30 16:15:00
2023-10-30 16:00:00,124.46,124.5,124.33,124.46,6266411.0,2023-10-30 16:00:00
2023-10-30 15:45:00,124.65,124.655,124.335,124.46,2680600.0,2023-10-30 15:45:00
2023-10-30 15:30:00,124.98,125.05,124.645,124.655,912588.0,2023-10-30 15:30:00
